date,title,name,group,impact,description,image,caption
1987-01-16,胡耀邦下台,政治局于1月16日召开扩大会议，以举手通过的方式批准了胡耀邦的请辞，并推选赵紫阳为代理总书记；但胡耀邦保留了政治局常委的名义，只是排名降到最后,中国政府,5,https://zh.wikipedia.org/zh-hans/%E8%83%A1%E8%80%80%E9%82%A6%E4%B8%8B%E5%8F%B0,https://i.imgur.com/W32IPCx.jpg,
1989-04-15,中共前總書記胡耀邦病逝,北京市民及學生自發悼念胡耀邦，同時也紛紛為他鳴不平，在天安門廣場公開申訴，倣傚1976年悼念周恩來總理的形式來反特權、反貪污、反官倒，並提出要與政府對話的要求。 官方：1989年4月15日，中共前總書記胡耀邦病逝。胡是中共極少數為政清廉的領導人之一，但在1987年1月被指「反資產階級自由化」不力而被逼下台。 「英雄胡不長壽，後輩誰來耀邦」──廣場輓聯,民间社会,5,,https://i.imgur.com/WgMEwbS.jpg,
1989-04-16,學生及人民自發到天安門廣場致送花圈,各大學大字報內容由悼念詞轉為辯論時局，並要求公正評價胡耀邦。學生及人民自發到天安門廣場致送花圈。 北大、清華、人民大學等校出現悼念胡耀邦的大字報。 翌日，數千名大學生遊行至天安門廣場，徹夜不散。,民间社会,5,,,
1989-04-17,約數千名北京大學生為悼念胡耀邦遊行至天安門廣場,約數千名北京大學生為悼念胡耀邦遊行至天安門廣場，沿途高呼：「打倒貪污」、「打倒官僚」等口號。上海也有數千學生遊行。,普通学生,5,,,
1989-04-18,數萬學生在天安門廣場集會靜坐，提出民主改革及為胡耀邦平反等七項要求,數萬學生在天安門廣場集會靜坐，提出民主改革及為胡耀邦平反等七項要求。北京市委派陳希同、劉延東及王世雄3名全國人大代表，會見靜坐學 生及接收請願信。  一、公正評價胡耀邦的政績，肯定民主自由寬鬆的觀點；  二、徹底否定、清除精神污染與反自由化，並為這次運動中蒙受不白之冤的人平反；  三、要求黨、國家領導人及其子女向全國人民公布其財產狀況；  四、允許民辦報紙，開放報禁；  五、增加教育經費，提高知識分子待遇；  六、取消北京人大常委會違反《憲法》的限制遊行「十條」；  七、對此次活動作出明確的報道，見黨政機關報。,普通学生,5,,,
1989-04-19,數千名學生凌晨到新華門前靜坐，要求與領導人對話,數千名學生凌晨到新華門前靜坐，要求與領導人對話，三度衝擊新華門，警民發生輕微衝突。各大城市均有悼胡活動。,普通学生,5,,,
1989-04-20,北京學生自治籌委會成立「首都高校學生聯合體籌備組」，發動罷課,凌晨，公安襲擊新華門外的學生，三百多名學生被打傷。五千多名學生遊行抗議。北京學生自治籌委會成立「首都高校學生聯合體籌備組」，發動罷課。,学运领袖,5,,,
1989-04-21,學生罷課抗議武警鎮壓，各校聯合遊行至天安門廣場通宵靜坐,學生罷課抗議武警鎮壓，各校聯合遊行至天安門廣場通宵靜坐。嚴家其、李澤厚及包遵信等47名知識分子，聯名遞交公開信給中共中央、人大常委和國務院，除稱胡耀邦為「中國當代民主過程的象徵」外，並肯定學生的要求。,普通学生,5,,,
1989-04-22,官方舉行胡耀邦追悼會，約10萬學生在廣場靜坐,官方舉行胡耀邦追悼會，約10萬名高校學生在天安門廣場靜坐，與近萬名軍警對峙。學生要求參加追悼會及與領導人對話和遞交請願信，其中3 名代表更跪在地上十餘分鍾，但政府置之不理。當時軍警列隊（三至六排）向學生隊伍衝擊，學生隊伍經歷兩次衝擊後，在籌委會糾察隊的帶領下撤離廣場，未發生 流血事件。 由於政府拒絕與學生對話，北京的大學生遂罷課抗議，上街宣傳演講，募集學運經費。,中国政府,5,,,
1989-04-23,北京臨時學生聯合會呼籲北京高校即日起無限期罷課,提出三條綱領︰全面有效地推進政治體制改革，保證《憲法》賦予的公民權利自由，以及保證經濟體制改革順利進行。又通過《兩條臨時決定》︰1.通電全國，起而抗議﹔2.罷工、罷市、罷課。 《世界經濟導報》刊載悼胡專輯，上海市委下令修改內容，但為總編輯欽本立反對。三十萬份已印妥的《導報》被扣起來。,学运领袖,5,,,
1989-04-24,罷課,北京所有高校罷課。上海《世界經濟導報》因刊載悼胡文章，遭上海市委禁制發行。,普通学生,5,,,
1989-04-25,學運被定為動亂,晚上，北京中央電視台播出《人民日報》四月二十六日的社論——「必須旗幟鮮明地反對動亂」，將學運定為動亂，並形容是「一場有計劃的陰謀」。,中国政府,5,,,
1989-04-26,《人民日報》發表措辭強硬的《必須旗幟鮮明地反對動亂》社論,該社論誣指學運是動亂。學生再發起遊行抗議，百萬市民夾道聲援。「北京高校臨時學生聯會」就《人民日報》「四‧二六」社論作出強烈反應，並自行出版《新聞導報》和成立「民主之聲廣播電台」。上海市委書記江澤民宣佈《世界經濟導報》停業整頓。「我們走了，衝向天安門廣場，我們並不奢望烈士的稱號，只求作一個大寫的人。」──北京師範大學學生遺書,中国政府,5,,,
1989-04-27,抗議「四‧二六」社論,約二十萬名學生遊行至天安門廣場，抗議「四‧二六」社論。逾百萬市民吶喊助威。《世界經濟導報》總編輯欽本立被上海市委撤職。,普通学生,5,,,
